Area,Homeownership_Rate,Renter_Rate
212203,1.09,98.91
212204,3.04,96.96
212303,0,100
212304,0.61,99.39
212305,3.62,96.38
212306,4.47,95.53
212410,3.64,96.36
212420,4.8,95.2
212501,3.33,96.67
212502,5.1,94.9
212610,17.96,82.04
212620,5.26,94.74
212701,41.99,58.01
212702,47.84,52.16
212800,33.63,66.37
212900,10.48,89.52
213100,28.42,71.58
213201,8.27,91.73
213202,16.23,83.77
213310,7.56,92.44
213320,3.55,96.45
213401,2.48,97.52
213402,4.57,95.43
214000,58.2,41.8
214100,32.99,67.01
214400,5.76,94.24
214501,2.08,97.92
214502,0,100
214503,0,100
214600,28.09,71.91
214700,34.44,65.56
214800,22.74,77.26
214901,25.56,74.44
214902,18.7,81.3
215101,5.69,94.31
215102,0.59,99.41
216100,62.93,37.07
216200,23.51,76.49
216300,33.78,66.22
216401,14.17,85.83
216402,13.75,86.25
216700,39.2,60.8
216800,37.68,62.32
216900,39.62,60.38
217001,42.51,57.49
217002,24.17,75.83
217100,32.03,67.97
217200,20.42,79.58
218110,28.43,71.57
218120,18.22,81.78
218210,27.78,72.22
218220,31.05,68.95
218300,33.93,66.07
218400,29.1,70.9
218500,38.3,61.7
218600,40.48,59.52
218701,37.57,62.43
218702,25.28,74.72
218800,29.33,70.67
218900,12.82,87.18
219010,50.19,49.81
219020,51.35,48.65
219300,21.27,78.73
219500,70.85,29.15
219700,46.52,53.48
219800,22.2,77.8
219901,26.78,73.22
219902,44.15,55.85
220000,33.92,66.08
220100,41.93,58.07
221110,6.39,93.61
221120,11.76,88.24
221210,16.38,83.62
221220,12.73,87.27
221302,4.57,95.43
221303,11.81,88.19
221304,3.49,96.51
221401,7.53,92.47
221402,22.1,77.9
221500,15.5,84.5
221601,20.99,79.01
221602,6.34,93.66
221710,14.79,85.21
221810,8.88,91.12
221820,2.85,97.15
221900,5.52,94.48
222001,61.01,38.99
222002,37.11,62.89
222100,21.18,78.82
222200,19.2,80.8
222500,33.85,66.15
222600,14.64,85.36
222700,0,100
224010,0,100
224020,4.72,95.28
224200,9.54,90.46
224310,3.3,96.7
224320,9,91
224410,22.94,77.06
224420,8.18,91.82
224600,13.22,86.78
224700,0.89,99.11
226001,16.39,83.61
226002,15.65,84.35
226410,14.05,85.95
226420,10.45,89.55
226700,22.14,77.86
227010,23.3,76.7
227020,25.17,74.83
228100,39.88,60.12
228210,22.89,77.11
228220,31.35,68.65
228310,26.95,73.05
228320,34.45,65.55
228410,29.83,70.17
228420,17.48,82.52
228500,28.55,71.45
228600,17.79,82.21
228710,29.3,70.7
228720,27.38,72.62
228800,30.7,69.3
228900,20.19,79.81
229100,35.77,64.23
229200,29.22,70.78
229300,22,78
229410,22.72,77.28
229420,36.26,63.74
231100,12.91,87.09
231210,17.31,82.69
231220,6.63,93.37
231300,26.45,73.55
231400,38.57,61.43
231500,54.92,45.08
231600,22.95,77.05
231710,14.07,85.93
231720,19.67,80.33
231800,16.78,83.22
231900,23.44,76.56
232110,24.57,75.43
232120,21.17,78.83
232200,33.89,66.11
232300,65.57,34.43
232400,43.8,56.2
232500,35.73,64.27
232600,40.95,59.05
232700,27.73,72.27
232800,34.37,65.63
234000,65.56,34.44
234200,59.95,40.05
234300,18.92,81.08
234501,56.86,43.14
234502,33.81,66.19
234600,54.87,45.13
234700,38.54,61.46
234800,61.93,38.07
234901,4.77,95.23
234902,14.34,85.66
235100,71,29
235201,51.2,48.8
235202,28.72,71.28
236000,80.96,19.04
236100,19.22,80.78
236202,0.45,99.55
236203,2.01,97.99
236204,0,100
236400,51.06,48.94
237101,32.13,67.87
237102,36.05,63.95
237201,45.31,54.69
237202,43.29,56.71
237300,53.67,46.33
