Area,American_Indian_Or_Native,Asian,Black,Hispanic,Other_Race,Two_or_More_Races,White
134103,1.0089686,14.035874,6.4125562,50.964127,0,0.53811657,27.040359
134104,0,31.628468,7.21351,36.670689,0.50663447,3.9324486,20.04825
134201,1.3217976,12.761355,1.297765,49.411198,0.43258831,2.667628,32.107666
134302,0,12.714064,2.2314479,22.885313,0,3.9699013,58.199272
134303,0.016520733,6.4596066,3.4693542,49.215263,0.1486866,1.4538245,39.236744
134304,0,20.776634,4.1154995,32.857616,0,1.2943909,40.955856
134305,0.21848372,8.4553204,0.72099626,82.761635,0,0.28402883,7.5595369
134306,0,20.512821,4.8008728,34.151665,1.6912166,0.95471907,37.888706
134421,1.4634147,9.1327915,1.3550136,9.5934963,0.32520324,4.9593496,73.170731
134422,0,16.182655,3.2645705,10.354496,0,3.7652714,66.433006
134423,0.59206632,11.722913,6.8975725,10.98283,0,6.0094728,63.795147
134424,0,17.651377,3.6697247,6.3486238,0.25688073,1.9816514,70.091743
134520,0,7.5919118,4.2647057,76.893379,0,1.4338236,9.8161764
134521,0,7.352941,3.2026143,84.967323,0,0.52287585,3.9542484
134522,1.013777,7.8242788,1.8715882,73.667793,0.62386274,1.3517026,13.646997
134710,0,7.8608465,2.3080783,76.501083,0.40140492,0.21742766,12.711156
134720,0,18.625231,3.0253139,49.125336,0,3.766207,25.457912
134800,0.12484395,11.548065,3.8077402,55.586765,0,1.3732834,27.559301
134901,0,2.1597633,5.4733729,30.739645,0.38461539,1.0355029,60.2071
134903,0.70181447,17.853476,7.8226633,47.535091,0,2.3793221,23.707634
134904,1.0465612,7.2618537,4.6134129,55.083298,0,4.4852629,27.509611
134905,0,12.32364,4.4630003,15.174201,0,4.3190327,63.720127
135102,0,17.778849,2.6017828,13.635268,0,2.2163334,63.767765
135111,0,19.17366,7.5855389,20.271143,0,1.8076178,51.162041
135113,0.32992411,22.566809,9.4028378,9.4028378,1.3526889,9.237875,47.707027
135114,1.4609358,31.780647,3.5782342,10.057167,0,3.3665044,49.756512
135201,2.33560914,12.971613,5.1742725,14.911965,0.21559468,1.9403521,62.450592
135202,0.56967574,13.38738,0.65731812,13.978966,2.8702893,3.155127,65.381241
135203,0.8883422,11.247779,3.9223726,18.778189,0,3.3893673,61.773952
137000,0,5.1073589,3.3562644,7.4213052,0.56285179,2.8976443,80.654579
137103,0,15.853403,4.3769631,15.685863,0,1.3821989,62.701572
137104,0,4.004178,6.3370476,9.1922007,0.20891365,7.0682449,73.189415
137201,0,13.437179,6.1793904,18.829168,0,7.0010271,54.553234
137301,0,17.574692,1.6256591,11.247803,0,4.217926,65.333916
