Area,Youth_in_Non-Family_Households,Youth_in_Single_Parent_Households
208903,0,63.648293
208904,0,49.685535
209102,6.0577817,45.573158
209103,0,51.55925
209104,0,42.307693
209200,0,48.692154
209300,0,43.949772
209401,0,68.470146
209402,3.4482758,78.976639
209403,0,77.490295
209510,1.3722126,58.833618
209520,0,56.888168
209810,0,66.015625
209820,0,61.202717
210010,0,47.066013
211000,0,16.639072
211120,0,29.618769
211121,0,37.677055
211122,0,29.213484
211201,0,59.932087
211202,0,46.361748
211310,0,52.780807
211320,0,51.478493
211410,0,33.209648
211420,0,65.876778
211500,0,35.72216
211701,0,34.155846
211703,0,49.410221
211704,2.5936599,41.210373
211802,1.4705882,43.954247
211803,0,37.042255
211804,0,7.2892938
211910,0,44.613712
211921,3.1088083,44.559586
211922,0,37.348064
212101,0,22.273783
212102,0,80.810814
212202,0,51.005024
212203,0,71.125
212204,0,50.42654
212303,2.840909,76.278412
212304,0,67.155426
212305,3.1537452,59.526939
212306,0,40.735695
212410,0,51.941097
212420,0.26455027,55.952381
212501,0,32.047478
212502,0,25.806452
212610,0,25.255972
212620,0,44.683258
212701,0,38.56041
212702,0,34.724541
212800,0,38.12038
212900,0,53.269398
213100,0,51.9263
213201,0,56.707897
213202,0,53.736656
213310,0,39.915524
213320,0,35.112358
213401,0,46.494762
213402,0,56.05901
214000,0,5.1321926
214100,6.6999998,10
214400,0,8.6538458
214501,0,24.285715
214502,0,7.2941175
214503,0,23.619633
214600,0,30.466831
214700,0,38.924049
214800,0,15.845071
214901,0,83.941605
214902,0,30.172413
215101,0,60.9375
215102,0,16.312057
216100,0,31.818182
216200,0,56.479691
216300,0,22.83737
216401,6.8857589,12.363068
216402,0,0
216700,0,39.942528
216800,1.8115942,4.5289855
216900,0,12.752722
217001,0,19.501133
217002,0,9.4710951
217100,0,36.670071
217200,0,41.477272
218110,0,61.721069
218120,0,38.422817
218210,0,63.450836
218220,0,42.198235
218300,4.0895061,43.75
218400,2.1523178,42.052979
218500,0,55.882355
218600,0,47.251461
218701,2.6315789,54.048584
218702,0,55.513309
218800,0,58.9701
218900,1.1320754,56.729561
219010,0,49.289101
219020,0,36.987953
219300,0,47.523891
219500,0,43.076923
219700,3.2564449,37.991859
219800,0.9661836,49.879227
219901,0,38.999207
219902,1.3513514,30.675676
220000,0,37.173203
220100,0,67.386612
221110,0,65.835411
221120,4.5977011,52.362709
221210,0,58.823528
221220,0,46.188339
221302,0,53.695457
221303,0,49.904396
221304,0,52.777779
221401,0,81.030151
221402,0,62.34568
221500,0,68.432205
221601,0,51.449276
221602,0,49.006622
221710,0,55.867348
221810,0,58.798283
221820,0,18.539326
221900,0,48.780487
222001,0,32.637077
222002,0.70484579,41.233479
222100,0,51.377247
222200,0,53.623188
222500,0,44.985836
222600,0,40
222700,,
224010,0,58.598724
224020,0,63.955341
224200,0,33.937397
224310,0,46.368713
224320,0,69.145729
224410,0,64.820847
224420,1.0869565,65.217392
224600,0,61.247639
224700,6.4102564,64.102562
226001,0,42.609852
226002,0,59.909908
226410,1.5741508,44.656174
226420,1.4738394,47.383934
226700,0,57.645405
227010,0,38.582184
227020,0,46.415092
228100,0,65.441177
228210,0,59.484344
228220,0,60.930889
228310,0,59.303089
228320,0,62.185791
228410,0,61.105423
228420,0.7067138,50.441696
228500,1.2872629,69.376694
228600,0,47.39365
228710,1.0301692,57.247978
228720,0.40026686,64.442963
228800,0,59.088581
228900,0,64.010742
229100,0,45.418327
229200,0,56.799335
229300,0,53.717827
229410,0,55.839134
229420,0,57.926102
231100,0,56.975227
231210,0,59.822311
231220,7.3850789,47.927658
231300,0,78.459343
231400,0,49.459877
231500,0,57.365685
231600,0,48.483292
231710,1.4103425,55.67495
231720,0,54.760342
231800,0.45572916,59.505207
231900,0,51.179554
232110,0,55.204678
232120,0,58.860428
232200,0,60.135136
232300,0,29.850746
232400,0,44.761383
232500,0.60195637,53.498871
232600,1.540154,50.935093
232700,0,56.155399
232800,0.59127861,53.880264
234000,0,44
234200,0,66.533867
234300,0,67.190224
234501,0,65.84906
234502,0,72.176308
