Area,Neighborhood,LA_Crimes,Total_Population,Under_Age_18,Ages_18-24,Ages_25-34,Ages_35-44,Ages_45-54,Ages_55-64,Ages_65_&_Older,Young_Adults_Enrolled_in_School,College_Graduation_Rate,Less_Than_High_School,Labor_Force_Participation_Rate,Unemployment_Rate,Homeownership_Rate,Renter_Rate,Immigrant_Citizen,Immigrant_Non-Citizen,Immigrant,Divorced_Separated,Married,Never_Married,Median_Household_Income,Opportunity_Youth,Homeless_count,Below_100_Poverty_Threshold,Below_200_Poverty_Threshold,White,American_Indian_Or_Native,Asian,Black,Hispanic,Other_Race,Two_or_More_Races,Median_Rent_Price,No_Vehicle_Households,Youth_in_Non-Family_Households,Youth_in_Single_Parent_Households
106604,Sylmar,36.222511,4638,30.07762,9.9827509,15.351444,19.167746,8.9262609,9.5730915,6.9210868,45.788338,12.158274,31.474821,64.597366,6.4823208,45.43,54.57,41.602375,58.397625,36.330315,11,42,42,5,11.856474,14,26.267879,46.987431,10.931436,0.927123777,4.3984475,0,83.742996,0,0,1256,6.0922542,0,32.32975
106641,Granada Hills,14.452214,2145,17.529137,8.9510489,8.6247082,12.634032,15.571095,17.202797,19.487179,60.9375,58.592262,4.311985,68.526787,9.4462538,93.75,6.25,87.677055,12.322947,32.913754,5,65,26,4,7.009346,0,2.9836829,6.7132869,62.937061,0,20.18648,0.27972028,10.769231,0.37296036,5.4545455,3182,0,0,9.8404255
106642,Granada Hills,17.241379,3422,19.87142,7.5102282,10.052601,14.494448,14.991233,14.699006,18.381063,35.797665,35.331993,5.0704226,64.602394,10.511983,89.93,10.07,80.5326,19.467402,31.823496,4,57,33,6,7.8431373,0,2.6939971,7.2035141,52.367039,0,8.6791353,2.7177088,24.605494,0,11.630626,3017,1.9784173,0,8.9153042
106643,Granada Hills,13.885966,4753,18.367348,10.624868,13.633494,9.1731539,19.650747,13.507258,15.043131,89.10891,54.844444,8.2666664,63.01812,5.9078379,92.37,7.63,83.432343,16.567657,31.874605,6,56,34,5,1.2269939,0,1.5148327,11.655796,55.606983,1.3675573,17.231222,6.6273932,10.014728,0,9.1521149,1904,0.82335329,0,12.600229
106645,Granada Hills,15.877771,3338,25.194727,4.9730377,7.159976,14.97903,13.840623,11.713601,22.139006,35.542168,58.429859,3.045903,54.51796,8.1830788,94.15,5.85,81.494659,18.505339,25.254644,5,65,23,7,8.2802544,NULL,7.5793886,20.82085,74.325943,0,10.095866,1.9472739,10.065907,0,3.5650089,2316,2.6200874,0,12.009513
106646,Granada Hills,12.198428,3689,19.219301,8.1593924,13.120087,10.92437,17.701275,14.44836,16.427216,48.504982,30.645763,15.938783,64.765205,11.678832,82.77,17.23,68.635727,31.364275,38.547031,13,46,33,7,8.1135902,NULL,5.820106,20.913395,47.004608,0,17.538628,2.981838,32.149635,0,0.3252914,2370,1.1282052,0,29.055008
106648,Sylmar,25.037556,3994,30.921383,11.767652,15.147721,14.396595,12.844266,8.2373562,6.6850276,37.021278,7.6452599,43.556137,67.6511,8.0203047,51.56,48.44,31.168201,68.831795,51.652477,13,43,43,2,11.87801,NULL,30.914114,59.994976,2.3785679,1.8027041,0.47571358,0,95.217827,0,0.12518778,946,6.7472305,0.9716599,44.534412
106649,Sylmar,10.538201,2657,26.684231,7.2261949,12.721114,19.156944,9.936018,10.312383,13.963117,41.666668,30.865604,21.753986,63.541668,15.300547,84.06,15.94,64.116577,35.883423,41.324802,7,51,38,4,15.942029,NULL,10.575837,26.194956,12.796387,0.30109146,23.447496,1.0538201,59.992474,0.48927361,1.919458,1533,3.526093,0,22.284908
107010,Sylmar,21.822849,3116,24.679075,13.703466,11.424904,15.500642,14.602054,11.007702,9.0821562,20.374708,8.90625,44.583332,58.698273,13.347023,74.09,25.91,42.228962,57.771038,42.32991,12,42,42,4,26.713533,2,19.987043,46.647232,4.075738,0.28883183,2.0539153,0,93.421051,0,0.16046213,1478,4.7233467,0,22.366711
107020,Sylmar,15.498288,5549,23.878176,10.68661,17.264372,17.80501,13.515949,8.181654,8.6682281,48.060707,16.79978,35.36216,64.495842,9.8189411,74.57,25.43,48.395931,51.604069,46.062355,6,47,44,3,14.060606,11,19.35018,36.714802,4.1268697,0,7.0282936,0.63074428,87.565331,0.48657414,0.16219139,1692,0.4954583,0,26.264151
