Area,Immigrant_Citizen,Immigrant_Non-Citizen,Immigrant
224600,30.05707,69.942932,46.698254
224700,13.530928,86.46907,23.810986
226001,16.549911,83.450089,50.575729
226002,22.719734,77.280266,37.734669
226410,26.189283,73.810715,54.429001
226420,15.578078,84.421921,51.211071
226700,17.133858,82.866142,48.149834
227010,16.666666,83.333336,48.349262
227020,22.115896,77.884102,51.379406
228100,23.17304,76.826958,47.671478
228210,28.032787,71.967216,48.813015
228220,12.954545,87.045456,42.115337
228310,19.002079,80.997925,52.135269
228320,21.78808,78.211922,50.586266
228410,15.308027,84.691971,49.21899
228420,17.739899,82.260101,46.877773
228500,19.382275,80.617729,48.063683
228600,12.266791,87.733208,44.151566
228710,15.745999,84.253998,48.546368
228720,16.34527,83.654732,50.172771
228800,18.507334,81.492668,41.818508
228900,25.699558,74.300446,44.466274
229100,16.480207,83.519791,48.588753
229200,14.485981,85.514015,52.826462
229300,9.9352875,90.064713,45.512821
229410,28.101946,71.898056,41.187847
229420,20.750669,79.249329,40.315609
231100,25.990492,74.009506,36.285221
231210,27.208977,72.791023,40.836197
231220,29.73645,70.26355,44.550289
231300,39.271782,60.728218,44.077187
231400,33.12748,66.87252,45.650421
231500,42.464115,57.535885,35.03772
231600,27.463917,72.536079,34.687454
231710,24.771524,75.228477,47.71632
231720,26.888803,73.111198,47.409992
231800,14.001692,85.998306,50.893433
231900,22.29673,77.70327,44.06279
232110,27.751572,72.248428,42.698891
232120,19.66115,80.338852,44.904457
232200,31.678253,68.321747,36.145012
232300,15.926773,84.073227,52.048595
232400,42.404751,57.595249,29.264408
232500,25.556793,74.443207,35.812561
232600,37.209301,62.790699,39.216
232700,22.868944,77.131058,42.875542
232800,19.622425,80.377571,43.139191
234000,44.100296,55.899704,23.70215
234200,64.948456,35.051548,8.6839752
234300,83.259911,16.740088,5.9611344
234501,57.46888,42.53112,20.337553
234502,27.323944,72.676056,15.912147
234600,43.883659,56.116341,23.102766
234700,46.133797,53.866203,31.226261
234800,63.662792,36.337208,21.293716
234901,19.182747,80.817253,31.770645
234902,35.028713,64.971291,31.596682
235100,61.495846,38.504154,15.270727
235201,35.056179,64.943817,17.294987
235202,38.897167,61.102833,16.145332
236000,82.725525,17.274471,11.867882
236100,74.342102,25.657894,17.746643
236202,26.475695,73.524307,41.364452
236203,29.481482,70.518517,36.173634
236204,12.771739,87.228264,25.145201
236400,67.091835,32.908165,8.909091
237101,29.875519,70.124481,39.714363
237102,24.384027,75.615974,40.558235
237201,27.058823,72.941177,39.941261
237202,29.770176,70.22982,39.109531
237300,47.144073,52.855927,22.838785
237401,33.055557,66.944443,40.223465
237402,46.253746,53.746254,29.065041
