Area,Median_Rent_Price
195802,1070
195803,1201
195804,1136
195901,1299
195902,1402
195903,1017
197200,1086
197300,1201
197410,1639
197420,1114
197500,1343
197600,1203
197700,1078
199000,1044
199110,1134
199120,968
199201,907
199202,1051
199300,1067
199400,1045
199700,1118
199800,926
199900,940
201110,1202
201120,1110
201200,1055
201301,1151
201302,1603
201401,1122
201402,872
201501,1056
201503,1134
201504,1089
201601,1029
201602,1167
201700,1145
203100,767
203200,992
203300,1017
203500,960
203600,996
203710,956
203720,942
203800,1144
203900,1110
204110,1013
204120,1092
204200,919
204300,951
204410,873
204420,801
204600,910
204700,918
204810,1046
204820,1049
204910,924
204920,1065
205110,1140
205120,906
206010,648
206020,2054
206031,2185
206032,796
206050,773
206200,449
206300,297
207101,1596
207102,657
207103,902
207301,872
207302,1617
207400,463
207501,1710
207502,427
207710,1816
207900,1958
208000,1098
208301,1065
208302,867
208401,847
208402,1030
208501,1111
208502,899
208610,1027
208620,1019
208710,1159
208720,800
208801,866
208802,851
208902,904
208903,768
208904,674
209102,778
209103,796
209104,747
209200,1527
209300,942
209401,768
209402,812
209403,688
209510,869
209520,858
209810,812
209820,787
210010,804
211000,1899
211120,1256
211121,1200
211122,1119
211201,997
211202,930
211310,1070
211320,882
211410,1013
211420,997
211500,1164
211701,1688
211703,1120
211704,1021
211802,1065
211803,1208
211804,1181
211910,1072
211921,1025
211922,1085
212101,1294
212102,977
212202,784
212203,789
212204,800
212303,777
212304,858
212305,817
212306,1070
212410,1281
212420,1045
212501,1002
212502,1140
212610,1080
212620,1044
212701,1103
212702,1704
212800,1148
212900,972
213100,1087
213201,1000
213202,978
213310,1098
213320,840
213401,1025
213402,1013
214000,1905
214100,2369
214400,1671
214501,2365
214502,2090
214503,1875
214600,1741
214700,1888
214800,1841
214901,1818
214902,1856
215101,1453
215102,1520
216100,1589
216200,1714
216300,1642
216401,1512
216402,1680
216700,1499
216800,1812
216900,1395
217001,1694
217002,1470
217100,1262
217200,1320
218110,1104
218120,957
218210,1120
218220,1082
218300,1174
218400,1135
218500,1049
218600,1216
218701,971
218702,885
218800,958
218900,1043
219010,1177
219020,953
219300,1053
219500,1088
219700,1111
219800,1039
219901,1023
219902,1274
220000,1077
220100,1015
221110,928
221120,1026
221210,1019
221220,953
221302,1103
221303,900
221304,1101
221401,746
221402,1044
221500,860
221601,945
221602,984
221710,976
221810,1036
221820,1429
221900,1018
222001,1138
222002,1051
222100,986
222200,959
222500,1193
222600,1079
222700,2691
224010,619
224020,743
224200,764
224310,863
224320,813
224410,1011
224420,726
224600,793
224700,1422
226001,1000
226002,646
226410,956
226420,894
226700,1001
227010,1055
227020,919
228100,1162
228210,968
228220,929
228310,1018
228320,1018
228410,1069
228420,930
228500,946
228600,1033
228710,1008
228720,1046
228800,859
228900,552
229100,1254
229200,793
229300,1057
229410,1016
229420,1109
231100,862
231210,947
231220,947
231300,982
231400,1050
231500,1128
231600,918
231710,954
231720,1032
231800,1005
231900,927
232110,985
232120,907
232200,1007
232300,1407
232400,968
232500,1145
232600,1013
232700,1077
232800,1032
234000,997
234200,1036
234300,1099
234501,1071
234502,956
234600,961
234700,978
234800,1077
234901,885
234902,948
235100,1200
235201,1120
235202,940
236000,1369
236100,944
236202,988
236203,1049
236204,975
236400,1200
237101,974
237102,898
237201,1009
237202,1084
237300,1142
237401,1127
237402,637
237500,1013
237600,902
237710,977
237720,1020
237800,1143
237900,1325
238000,1175
238100,1083
238200,999
238310,978
238320,909
238400,1015
239201,1071
239202,1074
239310,1060
239320,1059
239330,1054
239501,991
239502,979
239601,1034
239602,1118
239701,951
239702,1073
239801,1103
239802,1074
240010,950
240020,1191
240200,1147
240300,870
240401,1005
240402,968
240500,1208
240600,1149
240700,995
240800,974
240900,1027
241001,1149
241002,1212
241110,1199
241120,1090
241201,1274
241202,1113
241300,941
241400,1130
242000,1017
242100,477
242200,866
242300,1018
242600,531
242700,1037
243000,1304
243100,755
261101,2685
261102,1446
261200,2082
262100,2153
262200,1987
262301,2830
262302,1866
262303,2211
262400,2645
262501,3442
262601,3500
262604,2703
262704,1919
262706,1926
262802,2152
264000,2205
264102,2012
264103,1790
264301,1818
264302,1966
265100,2302
265201,1436
265202,2152
265301,
265303,1800
265304,1435
265305,1599
265410,1707
265420,2372
265510,1878
265520,2233
265601,1979
265602,2341
265700,1970
267100,1661
267200,1999
267300,1394
267402,1497
267403,1697
267404,1919
267501,1451
267502,1528
267600,1722
267700,1658
267800,1832
267901,2564
267902,1993
269000,2406
269100,1911
269300,1972
269500,2750
269601,1231
269602,1205
269700,1238
269800,1476
269903,1373
269904,1378
269905,1423
269906,1528
269907,1307
270100,1423
270200,1232
270300,1262
271100,1331
271200,1519
271300,1536
271400,2950
271500,1612
271600,1702
271701,1624
271702,1564
271801,1388
271802,1530
271901,1463
271902,1249
272100,1672
272201,1353
272202,1357
272301,1317
272302,1244
273100,2492
273200,1993
273300,1760
273402,1487
273502,1773
273600,2191
273700,1498
273800,1719
273902,2026
274100,2348
274202,1805
275101,1641
275102,1136
275200,1260
275302,2220
275311,1573
275400,2505
275500,798
275602,2323
275603,1366
276000,1607
276100,1719
276400,2075
276500,1959
276601,1740
276603,1812
276604,1813
277000,1831
277100,2314
277200,1475
277400,1175
278001,1672
278102,2042
291110,977
291120,969
291130,968
291210,993
291220,983
291300,1407
292000,1303
293201,1087
293202,1052
293301,1528
293302,1316
293304,1021
293306,1404
293307,991
