Area,Divorced_Separated,Married,Never_Married,Widowed
300501,13,51,31,5
300502,12,58,26,4
300600,8,54,28,10
300701,8,60,26,6
300702,9,59,25,7
300800,10,57,26,7
300901,8,63,26,3
300902,7,59,28,6
301000,11,42,39,8
301100,14,47,31,7
301203,11,51,31,7
301204,6,47,39,8
301205,5,68,21,6
301206,5,56,34,5
301300,12,60,23,5
301400,7,59,29,4
301501,6,57,31,6
301502,7,53,33,7
301601,7,53,33,7
301602,16,40,39,6
301701,11,43,40,5
301702,14,46,33,7
301801,13,48,33,6
301802,9,50,32,9
301900,12,50,32,6
302002,13,41,35,11
302003,8,49,33,10
302004,6,49,37,7
302102,16,40,39,5
302103,8,52,33,7
302104,14,42,38,6
302201,7,42,33,18
302202,12,41,39,8
302301,11,50,34,5
302302,12,40,39,9
302401,11,42,41,5
302503,9,48,36,7
302504,11,40,40,9
302505,11,45,40,4
302506,14,46,35,5
310100,5,71,18,5
310201,14,47,32,7
310202,9,48,37,6
310300,7,68,20,5
310400,8,57,31,4
310501,9,57,33,1
310601,16,40,39,5
310602,14,49,34,3
310701,15,42,30,13
310702,12,37,41,10
310703,6,43,44,8
310800,12,44,36,7
310900,16,52,29,3
311000,10,47,37,6
311100,12,53,30,5
311200,12,49,32,7
311300,18,49,29,5
311400,17,48,30,5
311500,12,46,39,3
311600,13,35,49,4
311700,11,52,28,9
311801,12,45,36,7
311802,17,28,51,4
320000,,,,
320100,9,46,43,2
320201,10,40,47,4
320202,7,51,37,6
320300,10,40,45,5
400204,4,66,26,4
400205,6,67,24,3
400206,5,64,27,5
400207,12,51,33,4
400302,16,46,28,10
400304,12,48,36,3
400402,9,51,35,5
400403,12,56,28,4
400404,6,59,31,4
400501,6,61,26,7
400602,12,46,38,3
400603,15,46,35,4
400604,11,47,36,6
400800,4,17,76,4
400900,11,43,37,9
401001,9,59,26,6
401002,14,48,32,5
401101,14,44,33,8
401102,18,38,39,4
401201,8,62,26,4
401202,10,48,36,7
401203,11,51,32,6
401303,12,56,26,5
401304,9,62,23,6
401311,15,40,37,8
401312,11,46,34,9
401500,17,37,43,3
401601,10,49,29,12
401602,13,50,32,5
401603,13,47,18,23
401701,16,47,28,10
401703,11,45,41,3
401704,10,38,42,10
401800,13,50,30,7
401901,1,4,95,0
401902,12,53,25,10
402001,14,43,40,3
402002,11,45,38,6
402101,8,37,51,4
402102,11,38,45,7
402200,16,40,38,6
402301,13,40,44,3
402303,8,32,55,5
402304,13,32,52,2
402402,18,39,40,2
402403,11,29,57,3
402404,0,1,99,0
402405,9,40,46,5
402406,9,43,46,2
402501,7,43,46,4
402502,9,45,42,4
402600,15,40,40,5
402702,12,37,47,3
402703,11,47,37,5
402705,11,43,39,7
402706,13,40,43,4
402801,10,39,48,3
402803,9,44,43,4
402804,9,42,45,5
402902,12,40,46,3
402903,4,51,39,6
402904,7,45,45,3
403000,8,40,47,4
403200,10,16,62,12
403303,14,45,34,8
403304,6,56,30,9
403305,10,56,31,4
403312,9,52,35,4
403316,8,49,36,7
403317,11,55,27,7
403318,9,52,34,4
403319,8,48,38,5
403320,8,58,30,5
403321,7,55,29,8
403322,10,58,30,2
403323,9,50,35,6
403324,7,55,34,4
403325,6,56,33,5
403401,6,60,29,5
403402,6,52,36,6
403403,4,63,29,4
403404,6,60,28,6
403405,2,65,29,4
403406,7,56,33,4
403407,4,61,33,2
403408,5,58,32,5
403500,4,57,29,11
403600,13,53,30,4
403702,11,50,34,5
403703,11,54,27,8
403721,11,48,34,6
403722,14,45,37,4
403801,10,42,43,5
403802,14,45,34,6
403901,10,49,37,4
403902,13,40,38,8
404000,14,43,38,6
404100,12,41,41,7
404201,11,37,49,3
404202,6,25,67,3
404301,11,43,42,4
404302,8,38,45,8
404401,7,47,42,4
404402,10,49,34,7
404501,7,48,42,4
404503,9,50,36,5
404504,9,32,55,4
404600,11,42,41,6
404701,10,41,43,6
404702,9,47,41,3
404703,7,42,47,4
404801,9,49,37,5
404802,8,45,40,7
404803,10,38,41,11
404901,6,44,44,6
404902,9,45,40,6
404903,10,53,34,4
405001,7,42,45,6
405002,5,51,41,3
405101,10,42,45,3
405102,9,39,45,7
405201,10,46,38,6
405202,8,41,46,5
405203,8,41,47,4
405301,16,44,35,6
405302,10,45,40,5
405400,6,50,38,6
405500,11,45,39,6
405600,7,45,39,9
405701,6,50,39,5
405702,14,47,36,3
405800,17,45,35,3
405900,13,48,37,2
406000,14,42,37,6
406101,18,39,40,3
406102,16,38,42,3
406200,9,43,38,10
406300,11,45,36,8
406402,13,45,35,8
406411,11,48,36,4
406412,9,50,33,9
406500,9,45,41,5
406601,7,54,33,7
406602,11,47,35,7
406701,10,52,35,3
406702,13,45,36,6
406800,8,48,35,8
406901,10,46,38,6
406902,11,41,39,8
407001,13,39,42,6
407002,9,46,40,5
407101,16,44,35,5
407102,8,47,43,2
407200,10,38,46,6
407301,11,38,44,7
407302,11,40,43,6
407400,6,50,38,6
407501,7,50,37,6
407502,11,42,43,4
407601,12,42,43,3
407602,5,48,42,5
407701,12,38,45,5
407702,10,50,35,5
407801,12,40,42,6
407802,8,44,45,3
407900,10,52,36,3
408003,8,49,38,5
408004,18,41,38,4
408005,7,55,33,5
408006,10,42,44,4
408133,10,50,36,4
408134,9,51,35,5
408135,14,45,38,3
408136,8,51,37,5
408137,9,47,38,6
408138,12,35,47,5
408139,11,37,46,6
408140,10,41,44,4
408141,9,40,44,7
408202,14,37,43,7
408211,8,49,37,6
408212,9,48,37,6
408301,9,47,40,5
408302,8,52,34,5
408303,12,38,44,6
408401,10,48,36,6
408402,8,59,25,8
408501,9,41,43,7
408503,8,55,31,6
408504,5,52,37,6
408505,10,53,29,8
408623,14,48,32,5
408624,7,62,27,4
408625,11,55,28,6
408626,8,49,36,7
408627,12,55,27,6
408628,10,53,28,8
408629,6,61,27,6
408630,7,44,46,3
408631,10,45,38,7
408703,4,62,30,4
408704,10,52,29,9
408705,9,55,32,5
408706,3,54,37,5
