Area,Total_Population
463200,3375
463300,2000
463400,5699
463500,6374
463601,5981
463602,4962
463700,2759
463800,3825
463900,3373
464000,6162
464100,7567
464200,5786
480002,3436
480011,5566
480012,5154
480101,4412
480102,4572
480201,3966
480202,2640
480302,4482
480303,4037
480304,4010
480400,5482
480500,5192
480600,8007
480702,4542
480703,3288
480704,4970
480802,3456
480803,3888
480804,5170
480901,4914
480902,4199
480903,3057
481001,4032
481002,5685
481101,4047
481102,3665
481103,4939
481201,3730
481202,5759
481300,3334
481401,6294
481402,7240
481500,4331
481603,3780
481604,4196
481605,3039
481606,4997
481711,4467
481712,5231
481713,2874
481714,2462
481800,2908
481901,5648
481902,3471
482001,2737
482002,7028
482101,4881
482102,2983
482201,3884
482202,4794
482301,5254
482303,6201
482304,3702
482401,4117
482402,7378
482502,3149
482503,4081
482521,5838
482522,4736
482600,6607
482701,4835
482702,2440
482800,4421
500100,3678
500201,5830
500202,4936
500300,3282
500402,4477
500403,4483
500404,4825
500500,2828
500600,6035
500700,6473
500800,5620
500900,6010
501001,3145
501002,4899
501200,5354
501300,7631
501400,3895
501501,2366
501503,4800
501504,3624
501600,7869
501700,3717
501802,3576
501803,4814
501804,2011
501900,4192
502003,2886
502004,3938
502005,4985
502100,5348
502200,6368
502301,6234
502302,3307
502401,5041
502402,3658
502500,4117
502601,7229
502602,4565
502700,6513
502801,6935
502802,2342
502901,5488
502902,4331
503000,5833
503103,5459
503104,2581
503105,4174
503106,3390
503201,4199
503202,4956
503301,3072
503302,6632
503401,7026
503402,4330
503501,6711
503502,4154
503601,4245
503602,3850
503701,5267
503702,5173
503703,7841
503801,4232
503802,5081
503901,2933
503902,4428
504001,6048
504002,5284
504101,5240
504102,
530003,3249
530004,4075
530005,4724
530006,4007
530101,5529
530102,5308
530202,4505
530203,2755
530204,3968
530301,2365
530302,6801
530400,3977
530500,4163
530601,3780
530602,1416
530700,2304
530801,5587
530802,3401
530901,3920
530902,4255
531000,5336
531101,4468
531102,3253
531201,5501
531202,4240
531301,5586
531302,6814
531502,3382
531503,3171
531504,4447
531602,4985
531603,3368
531604,3989
531701,5381
531702,4735
531800,5089
531901,6886
531902,3934
532001,3235
532002,3088
532101,6408
532102,3748
532200,6431
532302,4649
532303,4407
532304,4537
532400,41
532500,4102
532603,3305
532604,2789
532605,4012
532606,4940
532700,2964
532800,4381
532900,6974
533001,4156
533002,2681
533103,3488
533104,4555
533105,2363
533106,1702
533107,3515
533201,2940
533202,2588
533203,1822
533300,3428
533401,5320
533402,4234
533403,2963
533501,3329
533502,2152
533503,2197
533601,4809
533602,5407
533603,6672
533701,3850
533702,3672
533703,4272
533803,6598
533804,4241
533805,3802
533806,3893
533901,6208
533902,4151
534001,5206
534002,4448
534101,2021
534102,6580
534201,4726
534202,5918
534203,3584
534301,4645
534302,3980
534403,3015
534404,3410
534405,4005
534406,5083
534501,4723
534502,4481
534700,4824
534802,3090
534803,4302
534804,3838
534900,6295
535001,4308
535002,3518
535101,7730
535102,4855
535200,5883
535300,6021
535400,3411
535501,4036
535502,4885
535503,2426
535603,3241
535604,4399
535605,4361
535606,1906
535607,4593
535701,6269
535702,4492
535802,6784
535803,4517
535804,5374
535901,5653
535902,7998
536000,3925
536102,3305
536103,5380
536104,4203
536200,7603
540000,7381
540101,6874
540102,6696
540201,2034
540202,7254
540203,5609
540300,4998
540400,2605
540501,7395
540502,6838
540600,4287
540700,3251
540800,5694
540901,4607
540902,5087
541001,1019
541002,2930
541100,3009
541200,6205
541300,5993
541400,7085
541500,5545
541603,3346
541604,6248
541605,5628
541606,2465
541700,6244
541801,5572
541802,5194
542000,5797
542103,4121
542104,3510
542105,4676
542106,3510
542200,7068
542401,5175
542402,3303
542501,4780
542502,4303
542601,3076
542602,5678
542700,5834
542800,3221
542900,2899
543000,4547
543100,6827
543201,3820
543202,4843
543304,6197
543305,3147
543306,7212
543321,5553
543322,7111
543400,4434
543501,6516
543502,3993
543503,5672
543601,4135
543602,7920
543603,3852
543604,5928
543701,3011
543702,7273
543703,3515
543801,5605
543802,7066
543903,3727
543905,4517
544001,4409
544002,2945
550000,1555
550100,7941
550201,2935
550202,5702
550300,7739
550400,1474
550500,8369
550601,5937
550602,4741
550700,6736
550800,7145
550901,4153
550902,5914
551000,7015
551101,3987
551102,5096
551201,3931
551202,7526
551300,5147
551401,4753
551402,4575
551501,4934
551502,4264
551600,32
551700,6331
551800,7719
551900,5449
552001,3997
552002,3981
552100,6161
552200,6141
