Area,College_Graduation_Rate,Less_Than_High_School
191620,16.124535,48.513012
191710,21.12676,35.57642
191720,14.632174,44.46241
191810,23.521505,41.577061
191820,40.234375,16.113281
191901,42.440121,7.260479
191902,64.953667,5.9814658
192001,56.333168,8.8220797
192002,61.130898,4.5414071
192300,75.938866,3.0567687
192410,59.173553,10.148761
192420,31.127712,23.550339
192510,30.511736,30.934975
192520,24.673203,42.516338
192610,13.409724,39.733665
192620,23.911186,33.646458
192700,25.009222,20.951679
194101,66.920441,0.45679483
194102,66.367096,0.34566194
194200,65.902962,2.3247979
194300,60.566746,3.3117106
194401,55.894402,6.2812924
194402,69.786293,1.8791451
194500,56.629654,5.0947094
195100,67.448906,6.838254
195201,63.133099,2.1986651
195202,65.380249,6.394249
195300,57.056248,12.933648
195400,66.098724,10.09772
195500,47.164627,8.7934046
195600,40.701897,20.572811
195710,21.351351,37.804054
195720,31.804281,29.663609
195802,22.437532,29.780724
195803,41.82494,13.25351
195804,33.333332,16.116116
195901,51.795143,15.6283
195902,57.717716,8.048048
195903,38.164814,17.708942
197200,18.120806,27.234194
197300,38.397964,19.675779
197410,58.777676,6.9535394
197420,36.510437,24.497833
197500,40.985867,24.646673
197600,36.745987,27.116768
197700,31.814461,32.98772
199000,13.428036,46.448673
199110,11.990951,38.065609
199120,13.556953,46.715584
199201,9.6651449,50.076103
199202,18.988003,41.05373
199300,27.104248,30.424711
199400,12.985649,56.947849
199700,20.047619,42.761906
199800,6.6666665,51.415928
199900,11.386139,53.155941
201110,14.369847,38.92815
201120,14.334863,32.683487
201200,9.1019421,43.992718
201301,19.854612,36.074512
201302,52.604168,11.523438
201401,18.704809,36.529392
201402,14.693252,34.8773
201501,10.526316,38.732189
201503,9.1436863,41.461056
201504,14.340199,40.503433
201601,13.55198,31.497524
201602,13.016205,34.343964
201700,23.20122,28.079268
203100,4.0375204,57.66721
203200,7.0799456,50.067749
203300,14.728683,46.400887
203500,15.47744,40.713535
203600,8.2896118,58.06226
203710,9.423275,54.428425
203720,3.0591974,62.773144
203800,6.5082645,55.647385
203900,8.1023455,51.972282
204110,2.780807,56.052345
204120,6.9639583,56.383629
204200,5.3751998,56.146885
204300,7.8347106,57.619835
204410,5.4237289,59.322033
204420,4.4689493,58.444572
204600,8.6607523,53.443176
204700,9.0515804,55.307819
204810,6.9865913,52.999294
204820,6.0311284,58.430611
204910,8.468873,55.748737
204920,6.984334,53.067886
205110,3.7792144,70.213821
205120,4.2506814,61.416893
206010,14.098973,54.621849
206020,6.6399732,42.67601
206031,66.474197,5.1245036
206032,12.568493,42.739727
206050,15.352982,50.445511
206200,30.061771,25.978037
206300,8.0855198,32.186588
207101,36.574684,26.018396
207102,12.341407,64.705879
207103,12.044472,55.58987
207301,50.410473,13.179499
207302,55.122345,6.7760153
207400,12.162162,35.923424
207501,75.876953,3.8316245
207502,49.188034,22.393162
207710,61.395695,11.210096
207900,72.984619,5.2923079
208000,27.92584,33.557358
208301,6.5625,56.484375
208302,15.928883,41.545719
208401,15.053381,49.679714
208402,22.456511,34.739063
208501,28.896105,28.896105
208502,13.699242,41.410084
208610,28.87183,30.774366
208620,31.100334,26.068506
208710,37.488457,12.342259
208720,16.891436,43.964935
208801,14.533898,46.525425
208802,28.597366,38.674534
208902,6.4657879,74.82737
208903,11.368821,67.26236
208904,4.7597866,67.615662
209102,12.744156,58.469421
209103,5.4862843,62.693268
209104,11.525424,42.576271
209200,47.330959,28.647686
209300,16.888889,41.703705
209401,11.151471,47.184891
209402,6.6803279,70.368851
209403,14.945762,50.703094
209510,17.302526,43.739925
209520,9.9115047,56.873158
209810,11.606217,49.948185
209820,8.7918663,53.468899
210010,11.24684,49.915752
211000,70.221565,4.3722305
211120,37.835785,17.257982
211121,36.845238,23.690475
211122,39.409721,26.692709
211201,18.432104,46.71022
211202,26.681368,34.068356
211310,17.653631,42.271881
211320,24.805492,38.947369
211410,26.318384,27.550518
211420,33.169533,24.897625
211500,47.752163,14.26513
211701,64.177696,6.6162572
211703,31.682627,19.972641
211704,41.102646,10.48857
211802,39.460423,14.527127
211803,39.159843,8.935564
211804,40.109638,12.836912
211910,16.898148,39.120369
211921,42.150803,23.362175
211922,29.404808,35.12022
212101,36,15.402299
212102,31.704338,21.136225
212202,11.74363,44.386944
212203,8.9544516,60.300205
212204,13.447537,49.036404
212303,15.227273,43.5
212304,24.780876,42.310757
212305,14.256722,43.734146
212306,30.009451,20.746693
212410,28.073771,31.557377
212420,17.974573,32.573433
212501,37.130543,16.194582
212502,41.244572,16.40135
212610,37.98423,22.660267
212620,27.237926,33.127209
212701,35.192005,22.409258
212702,56.61253,4.3089161
212800,35.260323,23.052065
212900,21.137972,39.917454
213100,36.153072,21.450151
213201,27.546297,34.126984
213202,15.944735,38.610905
213310,11.842618,49.006622
213320,17.90201,43.907036
213401,13.246268,49.573563
213402,16.377846,38.056404
214000,53.110645,2.5887265
214100,57.258587,3.7589111
214400,64.020538,2.6856241
214501,66.333191,1.3484124
214502,74.423134,1.4456491
214503,64.421852,1.6941974
214600,61.563366,3.3765032
214700,65.582909,4.5517883
214800,63.935741,6.8273091
214901,70.69278,3.0830612
214902,67.912086,2.8571429
215101,68.157181,0.90334237
215102,62.416107,2.4981358
216100,68.915543,1.8990505
216200,67.134476,10.742537
216300,67.629761,3.656354
216401,65.12397,6.1157026
216402,60.669781,9.4626169
216700,44.887527,5.8282208
216800,68.148148,5.0292397
216900,51.563587,16.446606
217001,54.316143,8.7443943
217002,53.189354,5.7508788
217100,39.929413,12.77647
217200,47.35326,14.115952
218110,23.042776,25.343019
218120,16.876818,41.771744
218210,9.3495932,44.349594
218220,24.210859,38.667931
218300,19.018087,21.731266
218400,17.651545,23.141441
218500,15.55674,24.826851
218600,18.66995,25.911329
218701,31.328924,14.010824
218702,14.432284,25.1026
218800,13.592751,29.424307
218900,20.578327,27.596855
219010,11.018957,31.635071
219020,11.223423,30.742418
219300,13.023255,36.08527
219500,34.892639,10.046012
219700,22.053232,32.008297
219800,5.7034221,45.627377
219901,10.871944,44.691719
219902,14.025777,40.219864
220000,17.633646,25.335697
220100,25.305624,9.5965767
221110,7.5487013,52.597404
221120,7.2095437,51.037346
221210,13.712872,46.188118
221220,11.218945,47.903728
221302,8.4684181,47.372833
221303,16.955791,49.020706
221304,16.93989,35.098782
221401,18.961626,33.498871
221402,23.499062,27.767355
221500,5.985342,33.631924
221601,11.052861,42.11446
221602,7.6275644,56.917412
221710,19.375362,38.403702
221810,27.406832,40.99379
221820,68.300156,4.9770293
221900,27.702703,26.930502
222001,23.514212,32.196381
222002,11.392822,42.970036
222100,14.291864,43.133877
222200,10.805085,42.033897
222500,6.6688461,40.699574
222600,20.366455,34.425652
222700,50,0
224010,15.973598,36.831684
224020,10.966058,55.939949
224200,6.315104,58.91927
224310,9.3277311,48.739494
224320,5.0150452,57.973923
224410,33.913044,36.726341
