Area,Young_Adults_Enrolled_in_School
433403,43.113773
433501,44.052864
433503,29.39068
433504,41.94215
433601,64.646461
433602,69.756096
433700,44.696968
433801,49.386501
433802,79.008743
433901,25.208681
433902,38.92944
434001,42.913906
434003,39.441536
434004,47.138046
460000,60.307693
460100,47.122303
460200,45.850624
460301,46.606335
460302,46.930695
460401,47.5
460501,74.275978
460502,45.693779
460600,56.829269
460700,64.079826
460800,51.351353
460900,38.817482
461000,46.594593
461100,33.333332
461200,32.870369
461300,38.838474
461400,59.793816
461501,37.308868
461502,27.295918
461600,40
461700,74.074074
461901,24.764151
461902,32.061069
462001,24.036282
462002,34.993271
462100,41.43969
462201,41.40625
462202,54.98008
462301,34.697857
462302,64.077667
462400,50.526318
462500,61.953728
462600,70.394737
462700,52
462800,26.857143
462900,50.226246
463000,36.986301
463101,47.567566
463102,79.729729
463200,46.332047
463300,89.61039
463400,66.129036
463500,92.749458
463601,49.749584
463602,42.718445
463700,43.820225
463800,13.157895
463900,62.105263
464000,46.153847
464100,69.75425
464200,72.064774
480002,27.586206
480011,65.432098
480012,68.115944
480101,76.391983
480102,60.142349
480201,69.767441
480202,68.992249
480302,57.635468
480303,40.502792
480304,60.669456
480400,65.03817
480500,64.372467
480600,63.809525
480702,79.916321
480703,50.26738
480704,53.973511
480802,49.562683
480803,45.185184
480804,67.215813
480901,71.098267
480902,48.407642
480903,63.636364
481001,57.823128
481002,19.736841
481101,69.545456
481102,69.402985
481103,53.095684
481201,64.15094
481202,60.91127
481300,55.892258
481401,83.794464
481402,60.187668
481500,59.150326
481603,39.761906
481604,57.861637
481605,59.148937
481606,64.393936
481711,36.245956
481712,62.985683
481713,41.810345
481714,56.345177
481800,71.962616
481901,63.906582
481902,50.308643
482001,81.720428
482002,52.430046
482101,64.800003
482102,56.084656
482201,55.329948
482202,61.47541
482301,47.178329
482303,65.020576
482304,40.462429
482401,51.797039
482402,36.260162
482502,69.491524
482503,60.75
482521,48.57143
482522,43.348625
482600,56.064072
482701,45.288754
482702,70
482800,62.662338
500100,52.892563
500201,75.694443
500202,62.218651
500300,52.684563
500402,46.046513
500403,44.582592
500404,52.811737
500500,43.097645
500600,32.21809
500700,31.372549
500800,37.972507
500900,22.44898
501001,52.419353
501002,41.166382
501200,57.539684
501300,48.620235
501400,46.666668
501501,47.530865
501503,37.71331
501504,34.767025
501600,80.946373
501700,50.995026
501802,59.625668
501803,52.749142
501804,19.217081
501900,40
502003,54.589371
502004,38.703339
502005,40.839695
502100,43.762375
502200,32.797859
502301,47.961166
502302,40.202702
502401,50.733753
502402,49.433964
502500,34.408604
502601,49.848942
502602,64.864868
502700,58.608059
502801,44.715446
502802,56.372547
502901,61.565838
502902,41.899441
503000,26.129032
503103,41.217152
503104,14.883721
503105,43.68132
503106,31.954887
503201,58.556149
503202,41.610737
503301,60.666668
503302,54.363377
503401,61.511425
503402,45.318352
503501,54.755043
503502,54.252201
503601,35.674675
503602,75.155281
503701,47.124599
503702,42.785236
503703,40.57217
503801,53.076923
503802,42.380951
503901,53.174603
503902,58.838383
504001,90.490341
504002,62.236023
504101,40.287769
504102,
530003,59.615383
530004,45.15464
530005,75.602409
530006,38.754326
530101,56.865128
530102,58.709679
530202,52.115814
530203,31.402439
530204,39.59391
530301,46.641792
530302,47.24292
530400,34.362934
530500,34.113712
530601,36.314362
530602,52.795033
530700,38.955822
530801,40.167866
530802,39.086296
530901,35.372849
530902,36.660931
531000,42.35294
531101,40.605095
531102,48.159508
531201,20.824741
531202,33.880905
531301,40.369392
531302,30.042463
531502,41.364605
531503,50.953678
531504,47.304348
531602,40.025414
531603,31.670822
531604,22.145329
531701,37.264153
531702,27.06044
531800,45.614037
531901,42.255894
531902,39.506172
532001,23.631124
532002,40.601505
532101,59.595959
532102,52.665245
532200,22.671568
532302,53.696499
532303,48.501362
532304,46.703297
532400,
532500,40.084389
532603,31.294117
532604,31.355932
532605,42.449665
532606,36.019737
532700,43.596058
532800,17.894737
532900,33.830276
533001,31.755424
533002,55.14706
533103,40.243904
533104,39.487179
533105,37.906136
533106,53.097343
533107,40.857788
533201,43.243244
533202,49.318802
533203,44.206009
533300,45.856354
533401,36.842106
533402,33.526012
533403,32.258064
533501,31.651377
533502,31.419939
533503,40.121582
533601,34.120735
533602,34.146343
533603,31.97756
533701,44.172932
533702,32.089554
533703,39.184399
533803,38.742859
533804,46.172249
533805,34.355827
533806,35.85952
533901,30.779943
533902,29.148935
534001,40.586796
534002,42.290749
534101,21.22905
534102,40.150566
534201,33.175354
534202,34.409939
534203,37.127373
534301,53.094463
534302,40.637451
534403,35.584415
534404,25.581396
534405,31.009958
534406,31.603054
534501,33.45771
534502,39.356434
534700,48.872181
534802,22.900763
534803,27.146172
534804,38.709679
534900,19.551682
535001,23.511906
535002,46.506985
535101,34.273506
535102,29.508196
535200,38.031593
535300,30.235439
535400,23.818525
535501,37.885464
535502,35.022354
535503,27.401131
535603,37.096775
535604,43.947857
535605,21.626017
535606,31.016043
535607,37.223339
535701,53.255207
535702,35.182678
535802,44.847607
535803,42.767296
535804,43.57143
535901,42.668861
535902,48.837208
536000,35.827663
536102,43.459915
536103,41.867043
536104,45.547947
536200,40.829693
540000,35.807861
540101,37.720707
540102,37.775204
540201,18.253969
540202,37.068966
540203,21.767593
540300,52.086552
540400,20.382166
540501,32.560387
540502,31.606218
540600,26.307922
540700,15.952381
540800,38.775509
540901,29.554655
540902,37.202381
541001,61.666668
541002,60.362694
541100,47.293446
541200,55.034721
541300,45.257454
541400,21.401274
541500,43.568466
541603,24.242424
541604,38.322582
541605,32.96582
541606,41.599998
541700,53.731342
541801,32.038834
541802,41.176472
542000,26.349615
542103,38.350216
542104,48.475609
542105,39.84
542106,23.503326
542200,28.469751
542401,42.549923
542402,50.248756
542501,43.85321
542502,41.919193
542601,29.357798
542602,29.533678
542700,44.596272
542800,27.218935
542900,29.971182
543000,20.081137
543100,45.357143
543201,48.051949
543202,28.947369
543304,48.15271
543305,30.028328
543306,54.43787
543321,68.910889
543322,33.874241
543400,65.030678
543501,45.557655
543502,50.653595
543503,37.142857
543601,42.75
543602,54.736843
543603,57.63158
543604,48.930481
543701,45.572918
543702,40.384617
543703,33.041576
543801,56.929638
543802,65.395096
543903,45.552559
543905,31.587057
544001,43.894901
544002,32.432434
550000,13.432836
550100,47.513229
550201,66.206894
550202,64.320984
550300,33.534744
550400,50.847458
550500,54.370369
550601,41.435562
550602,51.520573
550700,48.586956
550800,52.76532
550901,46.061646
550902,45.839211
551000,42.140469
551101,39.232052
551102,36.746986
551201,73.717949
551202,59.45055
551300,45.691383
551401,54.133858
551402,44.98645
551501,46.690517
551502,53.112034
551600,
551700,42.771805
551800,31.853281
551900,46.629215
552001,60.723515
552002,60.102303
552100,30.324074
552200,33.676975
