Area,No_Vehicle_Households
238200,20.270269
238310,29.359165
238320,25.884544
238400,10.402299
239201,22.632795
239202,22.657743
239310,19.497488
239320,18.044237
239330,21.060171
239501,13.769752
239502,20.770128
239601,20.581114
239602,17.610838
239701,23.333334
239702,27.900288
239801,16.407187
239802,17.784964
240010,19.258497
240020,15.10457
240200,16.741741
240300,18.810513
240401,13.835511
240402,14.751131
240500,14.705882
240600,13.47936
240700,15.167866
240800,13.910506
240900,17.317612
241001,17.108875
241002,16.684046
241110,10.313316
241120,19.609509
241201,8.4951458
241202,17.567568
241300,9.1044779
241400,16.921268
242000,17.248062
242100,35.014004
242200,25.667351
242300,13.499112
242600,31.583199
242700,13.282572
243000,14.229867
243100,25.675676
261101,3.2343235
261102,4.3916912
261200,0.41617122
262100,1.1235955
262200,2.1384356
262301,0
262302,1.0169492
262303,2.079566
262400,2.1663778
262501,6.1549101
262601,0.57224607
262604,2.7882442
262704,3.3172081
262706,2.5510204
262802,1.9890261
264000,1.0752689
264102,5.4749341
264103,7.0103092
264301,5.1169095
264302,6.4405618
265100,24.068966
265201,14.349277
265202,18.139294
265301,
265303,22.676838
265304,21.228449
265305,26.97258
265410,4.5380874
265420,0
265510,17.283413
265520,6.0458961
265601,7.6363635
265602,5.9491978
265700,5.6969695
267100,0.55286801
267200,2.6661928
267300,11.787072
267402,11.655731
267403,7.3212256
267404,8.3542709
267501,11.840563
267502,10.952971
267600,4.2414355
267700,11.214953
267800,11.551724
267901,4.7619047
267902,4.6913581
269000,9.6194954
269100,9.9348536
269300,3.3788173
269500,3.7572255
269601,21.718603
269602,11.786038
269700,8.3483486
269800,4.1904764
269903,6.9672132
269904,5.5080724
269905,13.938919
269906,9.0361443
269907,3.9172211
270100,5.1106639
270200,10.016155
270300,11.814346
271100,7.1134019
271200,4.3037972
271300,6.5796084
271400,3.1994047
271500,8.0656672
271600,4.7008548
271701,1.4989294
271702,7.2656684
271801,7.5803518
271802,8.5640459
271901,5.0980392
271902,3.1755197
272100,2.3242302
272201,7.5342464
272202,8.0481625
272301,6.6923075
272302,13.292434
273100,3.7239869
273200,12.474849
273300,9.3486128
273402,9.5805283
273502,10.81239
273600,4.1988006
273700,6.1872911
273800,8.9694653
273902,3.8653934
274100,2.92851
274202,9.5515699
275101,5.122951
275102,9.0979786
275200,1.9350811
275302,1.4723927
275311,6.4390664
275400,5.8757062
275500,12.095808
275602,1.7199677
275603,5.7921634
276000,2.2202487
276100,6.9611778
276400,2.4421594
276500,3.5714285
276601,2.0871701
276603,3.740876
276604,1.0269576
277000,6.1987238
277100,4.0186915
277200,4.4955044
